RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.0008354724565499351,0.547945205479452,0.0,0.000438421,0.1256281407035176,0.41666666666666663,0.0,0.25,0.0,0.5,0
1.7560954604409857e-05,0.547945205479452,0.1,0.00033176753964588143,0.13668341708542714,0.9583333333333333,0.0,0.5,0.0,0.25,0
1.612290272373541e-05,0.5616438356164384,0.0,0.00017981265742879137,0.2257889447236181,0.9166666666666666,0.0,0.25,0.0,0.25,0
0.0004472970596627756,0.4246575342465753,0.2,0.00022030673979984603,0.08040201005025126,0.3333333333333333,0.0,0.0,0.125,0.0,0
9.382176394293124e-06,0.4246575342465753,0.0,0.00029532160816012315,0.1666532663316583,0.29166666666666663,0.0,0.25,0.0,0.25,0
0.00013933852529182878,0.1095890410958904,0.0,0.0002246279099307159,0.07368844221105528,0.29166666666666663,0.0,0.0,0.0,0.0,0
0.004673885955901427,0.6849315068493149,0.0,4.187946343341031e-05,0.24864321608040202,0.20833333333333331,0.0,0.0,0.0,0.25,0
0.000674491700389105,0.1780821917808219,0.0,0.0004410764511162432,0.1407638190954774,0.25,0.0,0.25,0.0,0.5,0
3.647794811932555e-05,0.6438356164383561,0.0,0.00021640543571978447,0.09915577889447237,0.5,0.0,1.0,0.0,0.0,0
0.00020165497016861217,0.35616438356164376,0.0,0.0002561801454965358,0.04824120603015076,0.875,0.0,0.0,0.0,0.25,0
0.0005322885538261996,0.6301369863013697,0.0,0.00023109248498845265,0.07437185929648242,0.16666666666666666,0.0,0.25,0.0,0.0,0
0.00020604359922178988,0.4794520547945205,0.0,0.00024241754118552733,0.26532663316582916,0.25,0.0,0.5,0.0,1.0,0
0.00022883838521400775,0.0821917808219178,0.0,0.00035208870977675134,0.1407035175879397,0.16666666666666666,0.0,0.25,0.0,0.0,0
0.0010458561011673151,0.35616438356164376,0.1,0.0005082034257120862,0.11318592964824122,0.41666666666666663,0.0,0.5,0.0,0.0,0
0.00023347886121919583,0.1232876712328767,0.0,0.0001911235542725173,0.1306532663316583,0.29166666666666663,0.0,0.25,0.0,0.25,0
3.056534500648508e-05,0.7534246575342465,0.0,2.048698999230177e-06,0.1585929648241206,0.125,0.0,0.0,0.0,0.0,0
0.0007847156926070039,0.21917808219178087,0.0,0.0011095481231716705,0.06538693467336684,0.16666666666666666,0.0,0.5,0.0,0.0,0
0.0006553026614785992,0.1506849315068493,0.0,0.0011784231208622018,0.06432160804020101,0.375,0.0,0.5,0.0,0.0,0
0.00012865219325551233,0.4931506849315069,0.0,0.0004652800177059276,0.07035175879396985,0.375,0.0,0.5,0.0,0.0,0
0.0,0.7534246575342465,0.0,0.00012536820400307926,0.10452261306532663,0.16666666666666666,0.0,0.25,0.0,0.0,0
0.0011695448249027236,0.30136986301369856,0.0,0.000586381155504234,0.07336683417085428,0.20833333333333331,0.0,0.25,0.0,0.0,0
0.00019374625551232163,0.6438356164383561,0.1,1.7720120092378753e-05,0.19296482412060303,0.20833333333333331,0.0,0.0,0.0,0.0,0
2.7474289234760052e-05,0.4931506849315069,0.0,0.00019209400384911473,0.26733668341708544,0.625,0.0,0.25,0.0,0.5,0
0.00048277544098573275,0.0958904109589041,0.0,0.00038737454580446495,0.06908542713567839,0.29166666666666663,0.0,0.0,0.0,0.0,0
0.0012417977483787288,0.3150684931506849,0.0,0.00024777277752117017,0.2732060301507538,0.20833333333333331,0.0,0.5,0.0,0.0,0
0.0,0.3698630136986301,0.0,0.00038446248190916087,0.1206030150753769,0.5416666666666666,0.0,0.25,0.0,0.5,0
0.0012970167315175098,0.9315068493150684,0.0,0.0,0.1206030150753769,0.08333333333333333,0.0,0.0,0.0,0.0,0
5.104854215304799e-05,0.7945205479452053,0.0,6.15735180908391e-06,0.10050251256281408,0.041666666666666664,0.0,0.0,0.0,0.5,0
0.0005143653800259403,0.5616438356164384,0.0,0.0012328090046189375,0.062311557788944726,0.6666666666666666,0.0,0.25,0.0,0.0,0
5.261539688715953e-05,0.3835616438356165,0.0,0.0002903632247882987,0.17386934673366836,0.6666666666666666,0.0,0.25,0.0,0.5,0
1.3618002594033721e-06,0.7397260273972601,0.0,0.0,0.1206030150753769,0.125,0.0,0.0,0.0,0.0,0
1.9157923476005186e-05,0.7123287671232876,0.0,8.140687682832948e-05,0.4542713567839196,0.20833333333333331,0.0,0.25,0.0,0.25,0
0.0008974016498054474,0.4794520547945205,0.1,0.0006257271732101616,0.16900502512562815,0.4583333333333333,0.0,0.5,0.125,0.0,0
