y,x1,x2
0,52.15981787,49.52693687
1,94.03801761,19.39150745
1,107.4195906,18.52692185
0,36.07462244,43.96985598
1,108.8501201,19.24849483
1,97.48444578,19.7340121
1,111.3564498,22.59446754
0,49.25621806,49.85789439
1,96.64446072,25.11577111
1,100.8785861,19.52327412
0,38.63961106,46.48935299
1,112.0923615,18.39086576
1,108.8619619,22.36627218
1,95.87107159,21.35755933
1,104.6074511,20.84665169
0,45.70488929,48.21081106
1,85.23949406,19.33946791
1,88.37009902,22.5255251
1,120.8200255,18.24290068
1,105.156414,22.213325
0,54.79575704,50.35604479
1,103.2958568,18.73284254
0,43.06930448,47.29703897
0,49.22861336,48.86837414
1,104.2723452,17.50409384
1,101.1107975,21.76768504
1,131.9040672,21.07789152
1,95.17290241,19.96559528
1,88.42518136,22.45188976
1,103.0271029,20.92100962
0,52.62205216,51.54720075
1,97.94704886,19.28659086
1,84.6025389,22.00343334
1,90.85392794,18.8291265
1,108.6839905,19.98567134
0,67.82134577,50.54739208
1,116.2566805,17.89255188
0,51.4511276,51.43053268
1,101.8798348,19.6406769
0,43.68046881,51.5804956
0,38.41370872,48.42417077
1,98.86907785,18.70183049
0,52.71969536,51.35274624
1,99.78229152,15.79717641
0,39.75015043,51.4122071
1,88.42429532,23.17528254
1,89.65111914,21.91740989
0,30.1881975,49.86669072
0,40.83627603,49.51328279
1,98.8401644,17.3599417
1,100.6701256,21.51967646
1,101.1175605,21.76164471
0,43.72562334,47.15734329
1,102.3661891,19.79291573
0,43.42040033,49.26468008
0,81.43767009,46.77965561
0,39.61401785,47.65687168
0,36.5217386,50.84591456
1,97.34181107,19.18486009
1,91.87913023,17.59510753
0,55.83817868,50.45004628
1,94.94346054,18.01525319
0,41.63652968,50.50861313
0,53.08640669,53.03111913
1,90.11890159,18.47460686
0,37.42456589,47.54659485
0,63.46625799,47.78773749
1,98.48174614,21.44405796
0,61.54432323,51.56329183
0,75.45930638,50.63684542
0,63.82670653,48.85886265
1,110.9749656,20.94624382
0,48.47443521,54.98736243
1,93.06345759,20.84297154
0,59.19618654,50.15029885
0,50.34543939,52.64928393
0,55.01923271,49.95347891
0,46.00760315,48.21157251
1,105.0105895,21.92176451
1,133.5342372,18.8028631
1,97.29859511,19.00449887
0,59.80973527,45.7911387
1,104.9089435,17.06271507
1,111.6194077,18.76593
0,27.09464318,48.5246006
0,37.90599404,51.47127533
1,102.5940728,20.1756098
1,104.5712713,21.32483206
0,39.15871992,48.03871544
0,63.18193532,50.13894781
0,46.43611455,50.60432967
1,109.9577628,21.93288208
1,98.4314606,19.49444775
1,101.3554791,19.038974
0,42.01579475,49.74578029
1,94.86416981,21.09443066
1,94.08966277,19.87876918
1,97.33477539,23.29819779
1,120.159233,21.10374459
1,101.9719903,19.23707558
0,44.69115456,48.22001838
0,36.0023025,52.04063594
0,60.75325636,49.32903703
1,99.80667509,18.723116
1,100.4041178,20.52396199
0,49.93499105,49.00426356
0,39.06432994,54.26691299
0,35.40887231,52.29998986
0,58.01925045,47.24757769
1,92.56212803,20.2729996
1,103.8200789,18.9506799
0,32.19145998,49.19906652
1,119.6264087,18.7095972
1,109.0189034,18.32144854
0,39.02249578,51.30143101
0,59.14099111,48.82834986
0,43.74976621,48.85754221
0,60.26186187,46.96167369
0,51.5449477,53.25697638
0,42.86190917,50.16291914
1,107.9752942,19.12757724
0,50.59415252,48.43294503
0,42.12646286,48.17196683
1,112.6939691,20.67170918
1,102.3374779,21.84312234
0,44.048254,54.11131335
0,48.80821445,49.08224688
1,97.3836931,21.43984684
1,96.47889476,17.46248096
0,45.06429664,48.13048558
0,52.15449171,48.33348544
0,60.24372521,50.62920527
1,96.02591308,22.246377
1,113.6454016,22.58562926
1,104.5683134,22.03342993
0,60.36686336,49.4082115
0,47.95905034,49.20410945
1,121.9836233,23.43741299
0,57.86729166,48.21649886
0,33.83552262,51.25788247
0,44.04493462,47.31254699
1,93.19414998,15.09775617
0,49.96052281,50.92196552
0,33.59237609,51.38543424
0,34.3873926,49.45233966
0,57.56338481,50.33721143
1,90.6503386,19.34592738
1,109.6555966,18.56232708
0,60.3428868,48.39439506
0,54.48468763,51.35878769
0,34.31895464,50.24237275
0,52.74949557,53.32542866
0,59.76963065,48.8200223
1,109.8371233,20.88913284
0,51.02922005,49.9464139
1,107.0372558,21.81833083
1,107.0706754,20.29668751
0,46.04966529,48.92614026
1,94.45219132,22.11826251
1,89.53698198,24.37997893
0,68.19059421,47.98673646
0,42.5628402,50.4685936
0,51.74839206,48.67611121
1,94.8544333,18.44804644
0,56.29061954,54.78378659
1,102.5167534,17.72031238
1,118.564981,23.57569012
0,50.54187527,48.67310165
0,20.88600738,49.91260862
0,49.07425,48.76349651
0,59.70506118,47.89391989
1,100.877373,15.27017674
1,98.17974159,19.00509224
0,43.61608383,51.87366332
0,38.75150538,53.76142974
0,52.33105298,53.24143479
0,43.21787767,50.69484412
0,38.81231784,51.99508558
1,100.2710962,20.33961279
1,102.7406565,24.82913984
1,101.5909648,20.23948801
0,51.21653695,52.41560668
0,59.94586978,50.36376949
1,76.9041648,18.43945707
0,44.81359516,50.56415628
0,44.73039308,49.45496738
1,114.5165123,20.09228797
1,87.09372178,17.54779473
1,102.5405598,21.3980351
0,45.63741417,51.1822472
0,54.02304155,49.55788713
0,59.34428352,48.4395764
0,41.77307571,47.02028826
1,108.8631296,22.94634143
0,51.49257932,46.89953822
1,105.9562808,18.07602906
0,46.87636434,47.58373744
1,106.238684,18.67231625
0,37.40410648,51.33036608
0,50.51981302,49.87125489
0,52.04427241,50.23335685
0,63.86982274,45.778877
1,108.1525513,21.73187322
1,109.8496154,19.32114331
0,61.75580503,48.36489011
0,35.07734966,49.15911618
0,61.23275336,50.79909224
0,34.76549251,51.05461353
0,34.27412041,47.63873586
0,45.40363894,45.14176973
1,92.67115006,17.41421868
0,58.43774226,50.11468839
0,36.07837926,55.02278509
0,38.53435675,46.7359446
0,57.40050942,52.31276763
0,35.71196585,51.05495557
