RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.0006722190064850843,0.6986301369863013,0.0,5.211432024634334e-05,0.044221105527638194,0.16666666666666666,0.0,0.0,0.0,0.0,0
0.00028273973281452657,0.5890410958904109,0.0,0.00018474382140107773,0.271356783919598,0.4583333333333333,0.0,0.5,0.0,0.0,0
0.00040573658365758756,0.4246575342465753,0.0,0.0001660974295612009,0.21220100502512565,0.3333333333333333,0.0,0.25,0.0,0.5,0
2.031857587548638e-05,0.9178082191780821,0.0,2.535887605850654e-06,0.042693467336683416,0.08333333333333333,0.0,0.0,0.0,0.0,0
3.972972632944228e-05,0.5890410958904109,0.0,0.0008037951439568899,0.02412060301507538,0.125,0.0,0.25,0.0,0.0,0
1.5789312581063553e-06,0.9041095890410957,0.0,2.6390161662817554e-06,0.1407035175879397,0.125,0.0,0.0,0.0,0.25,0
0.0012970167315175098,0.0273972602739726,0.0,6.0868545804464966e-05,0.061246231155778895,0.08333333333333333,0.0,0.0,0.0,0.5,0
0.0010752234954604408,0.0410958904109589,0.0,8.843496920708236e-05,0.06699497487437187,0.25,0.0,0.0,0.0,0.0,0
7.100750194552531e-05,0.3835616438356165,0.1,0.00020580651963048496,0.24974874371859299,0.6666666666666666,0.0,0.5,0.0,0.5,0
0.0012970167315175098,0.4520547945205479,0.0,3.837692994611239e-05,0.06771859296482412,0.08333333333333333,0.2,0.0,0.0,0.0,0
0.0010094663683527885,0.0958904109589041,0.0,0.00017863948344880678,0.09153768844221107,0.29166666666666663,0.0,0.0,0.0,0.25,0
0.0005435867613488975,0.35616438356164376,0.0,0.00030655205388760583,0.2718994974874372,0.5416666666666666,0.0,0.75,0.0,0.5,0
0.00013223075356679636,0.547945205479452,0.0,0.00022877267590454197,0.08040201005025126,0.25,0.0,0.25,0.0,0.5,0
0.0004797572762645914,0.46575342465753417,0.0,0.00031807954041570435,0.23718592964824123,0.7083333333333333,0.0,0.25,0.0,0.5,0
3.2814009079118026e-05,0.780821917808219,0.0,6.97434103156274e-06,0.06432160804020101,0.29166666666666663,0.0,0.0,0.0,0.0,0
0.0003015259727626459,0.3835616438356165,0.0,4.9461123941493454e-05,0.16078391959798996,0.25,0.0,0.0,0.0,0.5,0
0.0002506523878080415,0.3150684931506849,0.0,0.00016998840030792915,0.2412060301507538,0.375,0.0,0.25,0.0,0.25,0
0.00043617956809338524,0.1506849315068493,0.0,0.0005777263602771362,0.07537688442211056,0.4583333333333333,0.0,0.5,0.0,0.0,0
7.470817120622568e-08,0.2602739726027397,0.0,0.000297737739799846,0.20100502512562815,0.41666666666666663,0.0,0.75,0.0,0.0,0
0.00018070970946822306,0.5753424657534245,0.0,0.0003372417167051578,0.11537688442211055,0.41666666666666663,0.0,0.5,0.0,0.75,0
