pct_valid,avg_cost,t,μ,γ,k,λ
1.0,4.181128619602109,1,0.01,0.5,1,0.0
1.0,5.594559570862721,2,0.01,0.5,1,0.0
1.0,10.156526563542332,3,0.01,0.5,1,0.0
1.0,11.819705838796994,4,0.01,0.5,1,0.0
1.0,12.45017413182596,5,0.01,0.5,1,0.0
1.0,13.275655106489603,6,0.01,0.5,1,0.0
0.9,14.067780661889223,7,0.01,0.5,1,0.0
0.9565217391304348,15.326574550109441,8,0.01,0.5,1,0.0
1.0,15.951872751586652,9,0.01,0.5,1,0.0
1.0,16.41744589296187,10,0.01,0.5,1,0.0
1.0,17.363397799167608,1,0.1,0.5,1,0.0
1.0,22.772778331873994,2,0.1,0.5,1,0.0
1.0,28.54361510763629,3,0.1,0.5,1,0.0
1.0,32.570827875757196,4,0.1,0.5,1,0.0
1.0,35.693936829098924,5,0.1,0.5,1,0.0
1.0,37.27251641191547,6,0.1,0.5,1,0.0
1.0,38.99099325171752,7,0.1,0.5,1,0.0
1.0,40.91540727746771,8,0.1,0.5,1,0.0
1.0,42.540825300090596,9,0.1,0.5,1,0.0
1.0,43.698047452399365,10,0.1,0.5,1,0.0
0.9841269841269841,28.454640438650074,1,0.25,0.5,1,0.0
0.9908256880733946,38.5347751143641,2,0.25,0.5,1,0.0
1.0,44.27036862071911,3,0.25,0.5,1,0.0
1.0,47.10557283564106,4,0.25,0.5,1,0.0
1.0,49.16170638814988,5,0.25,0.5,1,0.0
0.995049504950495,51.15778562625413,6,0.25,0.5,1,0.0
1.0,54.289483767492484,7,0.25,0.5,1,0.0
1.0,56.09901713042333,8,0.25,0.5,1,0.0
1.0,56.72732540485624,9,0.25,0.5,1,0.0
1.0,57.457057690783266,10,0.25,0.5,1,0.0
1.0,6.339143291989584,1,0.01,0.75,1,0.0
1.0,7.619656282284395,2,0.01,0.75,1,0.0
1.0,13.181536595171428,3,0.01,0.75,1,0.0
1.0,14.807023480945361,4,0.01,0.75,1,0.0
1.0,15.391556810179946,5,0.01,0.75,1,0.0
1.0,16.411280898284446,6,0.01,0.75,1,0.0
1.0,18.355603188992,7,0.01,0.75,1,0.0
1.0,19.039327164177863,8,0.01,0.75,1,0.0
1.0,21.55653415044045,9,0.01,0.75,1,0.0
1.0,21.897182170734713,10,0.01,0.75,1,0.0
0.96,16.31790684800107,1,0.1,0.75,1,0.0
0.9583333333333334,22.553710082883132,2,0.1,0.75,1,0.0
0.9710144927536232,28.20929707990878,3,0.1,0.75,1,0.0
0.9878048780487805,31.184106054538155,4,0.1,0.75,1,0.0
0.99,34.78701522153686,5,0.1,0.75,1,0.0
0.9913793103448276,37.19798641748309,6,0.1,0.75,1,0.0
0.9922480620155039,39.19073139633181,7,0.1,0.75,1,0.0
1.0,41.086784395559945,8,0.1,0.75,1,0.0
1.0,43.50262196610414,9,0.1,0.75,1,0.0
0.9937106918238994,45.59721999358675,10,0.1,0.75,1,0.0
1.0,29.08904842615315,1,0.25,0.75,1,0.0
1.0,39.468662016216115,2,0.25,0.75,1,0.0
1.0,43.96534707420065,3,0.25,0.75,1,0.0
1.0,48.12684859370633,4,0.25,0.75,1,0.0
1.0,50.32087761387654,5,0.25,0.75,1,0.0
1.0,51.50251971658819,6,0.25,0.75,1,0.0
1.0,53.316433803502605,7,0.25,0.75,1,0.0
1.0,54.18737280951062,8,0.25,0.75,1,0.0
1.0,55.21965999193627,9,0.25,0.75,1,0.0
1.0,55.753470246224886,10,0.25,0.75,1,0.0
1.0,3.403427429976287,1,0.01,0.9,1,0.0
1.0,8.412089076283648,2,0.01,0.9,1,0.0
1.0,11.958144442595977,3,0.01,0.9,1,0.0
1.0,12.31815243232446,4,0.01,0.9,1,0.0
1.0,13.478786260892484,5,0.01,0.9,1,0.0
1.0,14.52548839402849,6,0.01,0.9,1,0.0
1.0,16.071772223846317,7,0.01,0.9,1,0.0
1.0,16.42547954909839,8,0.01,0.9,1,0.0
1.0,17.440044351091426,9,0.01,0.9,1,0.0
1.0,17.608424622386934,10,0.01,0.9,1,0.0
1.0,19.682080919544415,1,0.1,0.9,1,0.0
1.0,25.649798341949378,2,0.1,0.9,1,0.0
0.9696969696969697,28.19590511650977,3,0.1,0.9,1,0.0
0.9770114942528736,32.68551591861935,4,0.1,0.9,1,0.0
0.9813084112149533,35.90294340484868,5,0.1,0.9,1,0.0
0.983739837398374,38.72878172851936,6,0.1,0.9,1,0.0
0.9926470588235294,40.53719317742542,7,0.1,0.9,1,0.0
0.9931506849315068,41.85340575259517,8,0.1,0.9,1,0.0
0.99375,44.20071877890358,9,0.1,0.9,1,0.0
0.9940828402366864,46.1408661013822,10,0.1,0.9,1,0.0
1.0,30.699566770944664,1,0.25,0.9,1,0.0
1.0,42.35254680876067,2,0.25,0.9,1,0.0
0.993421052631579,47.47976946092126,3,0.25,0.9,1,0.0
0.9942857142857143,50.74877635421735,4,0.25,0.9,1,0.0
0.9949494949494949,53.16694277464012,5,0.25,0.9,1,0.0
0.9952153110047847,54.70038451895311,6,0.25,0.9,1,0.0
0.9954545454545455,56.754520429199985,7,0.25,0.9,1,0.0
0.9955947136563876,57.83253624927507,8,0.25,0.9,1,0.0
0.9957081545064378,58.50799542117823,9,0.25,0.9,1,0.0
0.9957983193277311,59.09142453912697,10,0.25,0.9,1,0.0
1.0,9.216317479014661,1,0.01,0.5,2,0.0
1.0,10.538862333523415,2,0.01,0.5,2,0.0
1.0,10.957655754645083,3,0.01,0.5,2,0.0
1.0,11.771108964877952,4,0.01,0.5,2,0.0
1.0,13.197244061830498,5,0.01,0.5,2,0.0
1.0,14.361949497091059,6,0.01,0.5,2,0.0
1.0,14.519593044177821,7,0.01,0.5,2,0.0
1.0,15.30897628305756,8,0.01,0.5,2,0.0
1.0,15.74117415238687,9,0.01,0.5,2,0.0
1.0,15.80624130693429,10,0.01,0.5,2,0.0
0.96,18.718352602233068,1,0.1,0.5,2,0.0
